job_title,gender,age,perf_eval,edu,dept,seniority,base_pay,bonus,age_bin,total_pay,base_pay_log,bonus_log,total_pay_log,mod_1_fitted,mod_2_fitted,mod_3_fitted
Graphic Designer,Female,18,5,College,Operations,2,42363,9938,"[18,29.8]",52301,10.654030618737362,9.204121072162266,10.86477077032911,96468.684640002175,73799.48442385571,74933.27657189852
Software Engineer,Male,21,5,College,Management,5,108476,11128,"[18,29.8]",119604,11.594284229338049,9.31721973360328,11.691941564755457,104926.9308158311,85947.22828817816,85200.91732745517
Warehouse Associate,Female,19,4,PhD,Administration,5,90208,9268,"[18,29.8]",99476,11.40987339391384,9.134322885552267,11.50767168802168,96468.684640002175,74749.0603310034,75833.54178866601
Software Engineer,Male,20,5,Masters,Sales,4,108080,10154,"[18,29.8]",118234,11.59062697263408,9.22562299550734,11.68042099064551,104926.9308158311,84997.65238103046,84216.49375501109
Graphic Designer,Male,26,5,Masters,Engineering,5,99464,9319,"[18,29.8]",108783,11.507551048632774,9.139810605785655,11.597110351195676,104926.9308158311,90695.1078239166,90123.03518967555
IT,Female,20,5,PhD,Operations,4,70890,10126,"[18,29.8]",81016,11.168884658849063,9.222861652529854,11.302401945012122,96468.684640002175,75698.63623815108,76733.8070054335
Graphic Designer,Female,20,5,College,Sales,4,67585,10541,"[18,29.8]",78126,11.121141343917929,9.26302769425519,11.266078186956783,96468.684640002175,75698.63623815108,76733.8070054335
Software Engineer,Male,18,4,PhD,Engineering,5,97523,10240,"[18,29.8]",107763,11.487843526602411,9.234056898593499,11.587689650340382,104926.9308158311,83098.50056673509,82247.64661012295
Graphic Designer,Female,33,5,High School,Engineering,5,112976,9836,"(29.8,41.5]",122812,11.634930685756128,9.193804403336083,11.718410009790611,96468.684640002175,88043.12303107104,88437.25482341083
Sales Associate,Female,35,5,College,Engineering,5,106524,9941,"(29.8,41.5]",116465,11.57612559085632,9.204422898212146,11.665346077665454,96468.684640002175,89942.27484536642,90237.78525694579
Graphic Designer,Male,24,5,PhD,Engineering,5,102261,10212,"[18,29.8]",112473,11.535283647580895,9.231318778361375,11.630468471822002,104926.9308158311,88795.95600962122,88154.18804478738
Driver,Female,18,5,College,Management,3,62759,10124,"[18,29.8]",72883,11.047057273004283,9.222664121665014,11.196610694643175,96468.684640002175,73799.48442385571,74933.27657189852
Financial Analyst,Female,19,5,College,Sales,3,84007,8990,"[18,29.8]",92997,11.338655407686755,9.103868127465667,11.440322513550575,96468.684640002175,74749.0603310034,75833.54178866601
Warehouse Associate,Female,30,5,Masters,Administration,5,86220,9583,"(29.8,41.5]",95803,11.364657448301125,9.167745974343763,11.470049278708723,96468.684640002175,85194.39530962797,85736.45917310836
Warehouse Associate,Female,35,5,PhD,Operations,4,95584,9745,"(29.8,41.5]",105329,11.467760721015836,9.184509611941662,11.564844063814192,96468.684640002175,89942.27484536642,90237.78525694579
Marketing Associate,Female,27,5,PhD,Management,3,73357,10334,"[18,29.8]",83691,11.203093211873872,9.24319470884713,11.334886723814417,96468.684640002175,82345.66758818491,83035.6635228059
Financial Analyst,Female,23,5,PhD,Administration,5,88422,10768,"[18,29.8]",99190,11.389876086441317,9.284334051884509,11.50479248174004,96468.684640002175,78547.36395959416,79434.60265573596
Warehouse Associate,Female,24,5,College,Administration,5,99545,9949,"[18,29.8]",109494,11.508365082213897,9.20522732258936,11.60362503221687,96468.684640002175,79496.93986674184,80334.86787250344
Sales Associate,Male,21,5,High School,Engineering,5,90386,9461,"[18,29.8]",99847,11.41184466713046,9.154933364704444,11.511394293324997,104926.9308158311,85947.22828817816,85200.91732745517
Data Scientist,Female,30,5,College,Engineering,5,92067,9838,"(29.8,41.5]",101905,11.430271851847474,9.194007717355285,11.53179628572048,96468.684640002175,85194.39530962797,85736.45917310836
Warehouse Associate,Male,36,5,PhD,Engineering,5,108446,9210,"(29.8,41.5]",117656,11.594007632218426,9.128045129249353,11.67552039158015,104926.9308158311,100190.86689539347,99967.27091411628
Financial Analyst,Male,24,5,PhD,Sales,3,83323,9329,"[18,29.8]",92652,11.330479900487639,9.140883106960962,11.436605818096815,104926.9308158311,88795.95600962122,88154.18804478738
Warehouse Associate,Male,24,5,PhD,Sales,3,85205,9792,"[18,29.8]",94997,11.352815396541493,9.189321004752108,11.461600591136683,104926.9308158311,88795.95600962122,88154.18804478738
